Case ID,Activity,Complete Timestamp,Variant,Variant index,concept:name,lifecycle:transition,variant,variant-index,creator
62,Start,2023-02-21 12:20:00.000,Variant 12,12,Start,complete,Variant 12,12,Fluxicon Disco
62,PR Clerk: Register new customer,2023-02-21 12:20:01.000,Variant 12,12,PR Clerk: Register new customer,complete,Variant 12,12,Fluxicon Disco
62,IT Specialist: Configure Sensors,2023-02-21 12:20:02.000,Variant 12,12,IT Specialist: Configure Sensors,complete,Variant 12,12,Fluxicon Disco
62,IT Specialist: Configure System Addresses,2023-02-21 12:20:03.000,Variant 12,12,IT Specialist: Configure System Addresses,complete,Variant 12,12,Fluxicon Disco
62,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 12:20:04.000,Variant 12,12,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 12,12,Fluxicon Disco
62,Data Analyst: Configure Segregation System,2023-02-21 12:20:05.000,Variant 12,12,Data Analyst: Configure Segregation System,complete,Variant 12,12,Fluxicon Disco
62,Machine Learning Expert: Configure Development System,2023-02-21 12:20:06.000,Variant 12,12,Machine Learning Expert: Configure Development System,complete,Variant 12,12,Fluxicon Disco
62,Machine Learning Expert: Configure Execution System,2023-02-21 12:20:07.000,Variant 12,12,Machine Learning Expert: Configure Execution System,complete,Variant 12,12,Fluxicon Disco
62,Data Engineer: Configure Monitoring System,2023-02-21 12:20:08.000,Variant 12,12,Data Engineer: Configure Monitoring System,complete,Variant 12,12,Fluxicon Disco
62,Technician: Assign Productivity Level,2023-02-21 12:20:09.000,Variant 12,12,Technician: Assign Productivity Level,complete,Variant 12,12,Fluxicon Disco
62,Data Analyst: Analyze Balance Report,2023-02-21 12:20:10.000,Variant 12,12,Data Analyst: Analyze Balance Report,complete,Variant 12,12,Fluxicon Disco
62,Technician: Define Validity Conditions and Outlier Ranges,2023-02-21 12:20:11.000,Variant 12,12,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 12,12,Fluxicon Disco
62,Data Analyst: Configure Segregation System,2023-02-21 12:20:12.000,Variant 12,12,Data Analyst: Configure Segregation System,complete,Variant 12,12,Fluxicon Disco
62,Machine Learning Expert: Configure Development System,2023-02-21 12:20:13.000,Variant 12,12,Machine Learning Expert: Configure Development System,complete,Variant 12,12,Fluxicon Disco
62,Machine Learning Expert: Configure Execution System,2023-02-21 12:20:14.000,Variant 12,12,Machine Learning Expert: Configure Execution System,complete,Variant 12,12,Fluxicon Disco
62,Data Engineer: Configure Monitoring System,2023-02-21 12:20:15.000,Variant 12,12,Data Engineer: Configure Monitoring System,complete,Variant 12,12,Fluxicon Disco
62,End,2023-02-21 12:20:15.000,Variant 12,12,End,complete,Variant 12,12,Fluxicon Disco
25,Start,2023-02-20 14:10:00.000,Variant 13,13,Start,complete,Variant 13,13,Fluxicon Disco
25,Technician: Assign Productivity Level,2023-02-20 14:10:01.000,Variant 13,13,Technician: Assign Productivity Level,complete,Variant 13,13,Fluxicon Disco
25,Data Analyst: Analyze Balance Report,2023-02-20 14:10:02.000,Variant 13,13,Data Analyst: Analyze Balance Report,complete,Variant 13,13,Fluxicon Disco
25,Technician: Define Validity Conditions and Outlier Ranges,2023-02-20 14:10:03.000,Variant 13,13,Technician: Define Validity Conditions and Outlier Ranges,complete,Variant 13,13,Fluxicon Disco
25,Data Analyst: Configure Segregation System,2023-02-20 14:10:04.000,Variant 13,13,Data Analyst: Configure Segregation System,complete,Variant 13,13,Fluxicon Disco
25,Machine Learning Expert: Configure Development System,2023-02-20 14:10:05.000,Variant 13,13,Machine Learning Expert: Configure Development System,complete,Variant 13,13,Fluxicon Disco
25,Machine Learning Expert: Configure Execution System,2023-02-20 14:10:06.000,Variant 13,13,Machine Learning Expert: Configure Execution System,complete,Variant 13,13,Fluxicon Disco
25,Data Engineer: Configure Monitoring System,2023-02-20 14:10:07.000,Variant 13,13,Data Engineer: Configure Monitoring System,complete,Variant 13,13,Fluxicon Disco
25,Technician: Assign Productivity Level,2023-02-20 14:10:08.000,Variant 13,13,Technician: Assign Productivity Level,complete,Variant 13,13,Fluxicon Disco
25,Data Engineer: Evaluate Model Performance,2023-02-20 14:10:09.000,Variant 13,13,Data Engineer: Evaluate Model Performance,complete,Variant 13,13,Fluxicon Disco
25,End,2023-02-20 14:10:09.000,Variant 13,13,End,complete,Variant 13,13,Fluxicon Disco
69,Start,2023-02-21 13:30:00.000,Variant 6,6,Start,complete,Variant 6,6,Fluxicon Disco
69,PR Clerk: Register new customer,2023-02-21 13:30:01.000,Variant 6,6,PR Clerk: Register new customer,complete,Variant 6,6,Fluxicon Disco
