,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
120,"frozenset({'26000036', '26000062', '28000009'})",frozenset({'26000004'}),0.0139,0.11605,0.0138,0.9928057553956835,8.554982812543589,0.012186905,122.86905000000077
121,"frozenset({'26000062', '26000004', '28000009'})",frozenset({'26000036'}),0.01485,0.0411,0.0138,0.9292929292929293,22.61053355943867,0.013189665,13.561585714285712
122,"frozenset({'26000036', '26000062'})","frozenset({'28000009', '26000004'})",0.0164,0.02875,0.0138,0.8414634146341463,29.268292682926827,0.0133285,6.1263461538461526
123,"frozenset({'26000036', '26000042', '26000062'})",frozenset({'28000009'}),0.01485,0.08715,0.01345,0.9057239057239057,10.392701155753365,0.0121558225,9.682730357142855
124,"frozenset({'26000036', '26000062', '28000009'})",frozenset({'26000042'}),0.0139,0.1769,0.01345,0.9676258992805756,5.469903331150795,0.01099109,25.424644444444514
125,"frozenset({'26000062', '26000042', '28000009'})",frozenset({'26000036'}),0.0146,0.0411,0.01345,0.9212328767123288,22.414425224144253,0.01284994,12.17386086956522
126,"frozenset({'26000036', '26000062'})","frozenset({'28000009', '26000042'})",0.0164,0.03305,0.01345,0.8201219512195121,24.814582487731077,0.01290798,5.3755864406779645
127,"frozenset({'26000036', '26000062', '26000046'})",frozenset({'28000009'}),0.01495,0.08715,0.0134,0.8963210702341138,10.28480860853831,0.0120971075,8.804585483870973
128,"frozenset({'26000036', '26000062', '28000009'})",frozenset({'26000046'}),0.0139,0.0949,0.0134,0.9640287769784174,10.158364351721996,0.01208089,25.16178000000008
129,"frozenset({'26000062', '26000046', '28000009'})",frozenset({'26000036'}),0.01415,0.0411,0.0134,0.9469964664310955,23.041276555501106,0.012818435000000001,18.091246666666688
130,"frozenset({'26000036', '26000062'})","frozenset({'28000009', '26000046'})",0.0164,0.0251,0.0134,0.8170731707317073,32.55271596540666,0.012988360000000001,5.329453333333332
131,"frozenset({'26000036', '26000042', '26000062', '28000009'})",frozenset({'26000004'}),0.01345,0.11605,0.0134,0.9962825278810409,8.584942075666014,0.011839127500000001,237.78254999999925
132,"frozenset({'26000036', '26000004', '26000062', '28000009'})",frozenset({'26000042'}),0.0138,0.1769,0.0134,0.9710144927536233,5.489058749313868,0.010958780000000001,28.39695000000009
133,"frozenset({'26000036', '26000004', '26000042', '26000062'})",frozenset({'28000009'}),0.0144,0.08715,0.0134,0.9305555555555556,10.67763115955887,0.012145040000000001,13.145040000000003
134,"frozenset({'28000009', '26000004', '26000042', '26000062'})",frozenset({'26000036'}),0.01405,0.0411,0.0134,0.9537366548042705,23.20527140642994,0.012822545000000001,20.726992307692324
135,"frozenset({'26000036', '26000062', '28000009'})","frozenset({'26000004', '26000042'})",0.0139,0.0522,0.0134,0.9640287769784174,18.467984233303014,0.01267442,26.34884000000008
