index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
9047,Fun Deck,3,8,0,0,1,2,5,0,4.625,0.0,0.0,112,73.125,0.0,12927,3747,1.5,26,1,2712.5,8,4,1,0,0
9048,Fun Deck,1,6,0,2,2,4,2,0,3.625,8126.285267359756,339379.3367565838,112,80.0,0.0,9684,2726,1.3166666666666667,20,0,2462.5,8,4,1,0,2
9049,Fun Deck,1,7,0,1,1,2,2,3,3.5,0.0,0.0,112,77.14285714285714,0.0,7423,2131,1.0857142857142856,21,3,3412.5,8,4,0,0,1
9050,Fun Deck,3,7,0,1,2,2,2,2,3.875,5994.907921114332,152723.30977216893,112,66.42857142857143,0.0,12771,2738,1.0571428571428572,21,3,2012.5,8,3,1,1,0
9051,Fun Deck,3,6,0,2,1,1,5,1,3.875,0.0,0.0,112,70.0,0.0,8749,1710,1.2666666666666666,20,3,3100.0,8,4,0,0,2
9052,Fun Deck,3,6,0,2,2,0,5,1,3.125,0.0,0.0,112,80.0,0.5,4609,1272,1.2499999999999998,24,3,2706.25,8,3,1,1,1
9053,Fun Deck,3,6,0,2,1,3,3,1,3.75,6736.953042355231,303766.2303805755,112,80.0,0.0,5931,2491,1.116666666666667,22,2,3050.0,8,5,1,0,2
9054,Fun Deck,3,6,0,2,2,1,5,0,3.625,0.0,0.0,112,70.0,3.0,5782,1655,1.3500000000000003,20,2,3712.5,8,5,0,1,1
9055,Fun Deck,1,4,1,3,3,2,2,1,2.875,14448.456690760737,452893.65313916357,112,90.0,7.5,5682,1097,0.72,12,1,2868.75,8,2,1,0,3
9056,Fun Deck,3,7,0,1,1,2,5,0,3.875,699.590562531972,19824.665645788835,112,68.57142857142857,0.0,8591,2577,1.3,25,2,2612.5,8,3,1,0,1
9057,Fun Deck,3,6,0,2,0,2,4,2,3.875,0.0,0.0,112,75.0,0.5,13527,2879,1.4333333333333333,7,3,2537.5,8,2,2,1,1
9058,Fun Deck,1,5,2,1,2,2,4,0,5.5,0.0,0.0,112,63.0,23.666666666666668,12996,2371,2.471428571428572,11,1,3687.5,8,3,1,1,0
9059,Fun Deck,3,7,1,0,0,3,1,4,4.75,0.0,0.0,112,77.14285714285714,50.0,16573,3034,2.4125,7,5,1468.75,8,1,0,0,0
9060,Fun Deck,3,6,0,2,4,3,1,0,3.625,3665.7268062548974,138405.43573105754,112,67.5,0.0,10624,2457,1.25,9,0,3125.0,8,6,1,0,2
9061,Fun Deck,1,7,0,1,3,4,1,0,3.375,2260.9398748062827,101441.25441470776,112,85.71428571428571,0.0,9753,2735,1.4714285714285715,10,0,3100.0,8,5,1,1,0
9062,Fun Deck,1,6,0,2,0,1,5,2,4.125,0.0,0.0,112,70.0,0.5,13474,2694,1.5333333333333334,20,3,2300.0,8,3,1,1,1
9063,Fun Deck,2,7,0,1,3,2,3,0,3.5,0.0,0.0,112,85.71428571428571,0.0,6821,1468,1.3571428571428572,15,1,3125.0,8,6,0,0,1
9064,Fun Deck,2,7,0,1,1,0,4,3,4.875,2242.9201379723754,72307.93151415087,112,57.857142857142854,0.0,17491,4267,1.9142857142857144,11,5,2900.0,8,2,1,0,1
9065,Fun Deck,3,7,0,1,0,1,7,0,4.5,0.0,0.0,112,70.71428571428571,0.0,15092,4008,1.542857142857143,21,2,2225.0,8,3,0,0,1
9066,Fun Deck,3,7,0,1,4,3,1,0,3.625,2276.3945812503207,102792.32935505045,112,70.71428571428571,0.0,12025,2761,1.2142857142857142,12,1,2450.0,8,4,1,0,1
9067,Fun Deck,3,8,0,0,1,2,4,1,4.625,11.905325976170186,213.74729275262544,112,63.75,0.0,9975,3203,1.4375,12,4,4100.0,8,6,1,0,0
9068,Fun Deck,1,5,1,2,2,4,1,1,3.25,26057.542308706605,1108936.6901815531,112,78.0,10.0,8402,3052,1.2833333333333332,7,2,2687.5,8,3,1,0,2
9069,Fun Deck,3,7,0,1,5,0,3,0,2.875,3057.4058146777093,74454.47629912203,112,90.0,0.0,5028,1283,1.3285714285714287,27,0,2287.5,8,3,0,0,1
9070,Fun Deck,2,6,0,2,2,3,3,0,4.0,0.0,0.0,112,75.0,0.0,9860,4141,1.4333333333333336,8,3,2887.5,8,5,1,0,2
9071,Fun Deck,2,6,0,2,0,2,5,1,4.375,2085.4539409731037,57590.333675593916,112,62.5,4.0,13572,4091,1.6833333333333333,20,2,2187.5,8,2,1,1,1
9072,Fun Deck,2,6,1,1,0,3,4,1,4.0,0.0,0.0,112,75.0,20.0,8923,1323,2.5285714285714285,20,3,2412.5,8,3,0,0,1
