index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
925,Competitive,1,7,0,1,4,4,0,0,3.375,1770.1658839232412,40786.04236353031,101,85.71428571428571,0.0,6077,2218,1.2,16,1,2950.0,8,5,0,0,1
926,Competitive,2,5,0,3,3,1,4,0,4.267857142857143,0.0,0.0,104,78.0,0.3333333333333333,6918,1494,1.26,22,1,2075.0,7,4,2,2,2
927,Competitive,1,6,1,1,1,3,2,2,3.125,3680.006327977428,110680.8528836126,104,90.0,24.5,6495,1436,1.7857142857142858,14,2,2593.75,8,2,1,0,1
928,Competitive,1,6,0,2,0,2,1,5,3.5,4341.801463411854,159111.83998316718,102,72.5,0.0,6730,2080,1.1500000000000001,6,6,3212.5,8,5,1,0,2
929,Competitive,1,7,0,1,1,0,3,4,4.125,0.0,0.0,81,77.14285714285714,0.0,7819,1518,1.2857142857142858,26,4,2737.5,8,4,0,0,1
930,Competitive,3,8,0,0,1,1,3,3,4.25,0.0,0.0,65,75.0,0.0,7465,1794,1.3375,24,5,2537.5,8,4,0,0,0
931,Competitive,3,6,0,2,2,2,3,1,4.375,2581.4962549944635,53653.51590991154,104,67.5,0.75,11715,2610,1.7666666666666666,6,2,2531.25,8,5,1,0,2
932,Competitive,1,5,1,2,2,5,0,1,3.625,2260.9398748062827,101441.25441470776,101,78.0,16.333333333333332,9341,2176,2.2166666666666663,5,1,2350.0,8,4,1,1,1
933,Competitive,1,5,0,3,3,2,3,0,4.25,0.0,0.0,104,78.0,0.0,8454,2308,1.28,25,1,1662.5,8,3,0,0,3
934,Fun Deck,1,4,1,3,3,2,1,2,3.5,33341.86565471353,858812.8650116991,58,75.0,7.5,2714,1724,1.3800000000000001,9,1,3637.5,8,4,0,0,3
935,Competitive,1,5,1,2,3,5,0,0,3.125,3417.0556240168694,127713.34052403593,104,96.0,11.0,8380,2324,1.6166666666666665,5,1,2912.5,8,3,1,2,1
936,Competitive,2,6,1,1,3,5,0,0,3.625,1763.0509587479387,40743.74261331974,104,80.0,24.5,7474,2309,2.1,10,1,2737.5,8,3,0,0,1
937,Competitive,2,4,1,3,3,2,3,0,5.0,0.0,0.0,104,75.0,14.0,9640,4006,3.38,10,2,1837.5,8,4,1,1,2
938,Competitive,2,6,1,1,3,2,1,2,4.125,0.0,0.0,102,70.0,17.0,7394,3377,1.8285714285714285,11,3,3518.75,8,5,1,1,0
939,Competitive,1,6,0,2,1,1,2,4,3.875,53682.66110481721,1437721.7738654823,104,72.5,4.0,9693,2377,1.3166666666666667,6,5,2706.25,8,4,1,2,0
940,Competitive,3,5,1,2,2,3,3,0,4.25,2206.733511473965,99574.94636102748,104,84.0,10.0,7969,2270,1.0833333333333333,24,2,2812.5,8,5,1,0,2
941,Competitive,1,7,0,1,2,2,1,3,3.5,4658.059310433903,122538.70801940179,104,90.0,0.0,8661,2340,1.3142857142857143,11,4,2206.25,8,4,0,1,0
942,Competitive,1,6,0,2,1,1,3,3,3.75,9661.410666065125,249056.74474095067,104,67.5,0.0,8877,2574,1.2333333333333332,20,4,2537.5,8,3,1,1,1
943,Competitive,1,5,0,3,1,2,4,1,3.625,3165.9911790429837,120461.44708038957,102,90.0,0.8666666666666667,6287,1872,1.06,7,1,2937.5,8,4,1,1,2
944,Competitive,2,5,0,3,0,2,5,1,4.25,7885.254752334671,197028.2422840854,97,69.0,0.8666666666666667,11126,2129,1.7600000000000002,5,2,2781.25,8,5,1,1,2
945,Competitive,3,6,1,1,3,2,2,1,3.125,3425.3954052856125,129022.115714168,97,100.0,15.0,5190,1873,1.0857142857142856,21,2,2718.75,8,5,0,0,1
946,Competitive,3,6,1,1,1,4,1,2,3.875,3700.469778344262,131843.38424372373,104,85.0,15.0,10053,2157,1.5999999999999999,6,1,3987.5,8,5,1,0,1
947,Competitive,1,6,0,2,1,0,1,6,4.0,1538.7543915952176,39956.726510056156,104,80.0,0.0,10894,1684,1.1333333333333335,6,6,3068.75,8,4,0,0,2
948,Fun Deck,1,8,0,0,0,1,7,0,4.625,0.0,0.0,53,69.375,0.0,9161,1975,1.525,9,3,2287.5,8,3,1,0,0
949,Competitive,3,8,0,0,3,0,2,3,4.125,0.0,0.0,101,69.375,0.0,11613,3076,1.7249999999999999,9,3,4212.5,8,4,2,0,0
950,Competitive,2,6,0,2,0,3,1,4,3.5,10156.640155032403,401077.4106428252,77,77.5,0.0,6900,1758,1.7666666666666666,6,5,3568.75,8,5,1,0,2
951,Competitive,1,5,1,2,3,2,1,2,2.875,40783.99461916069,1164599.9910497384,99,96.0,10.0,4846,1193,1.116666666666667,9,3,3887.5,8,4,0,0,2
952,Competitive,1,7,0,1,5,3,0,0,3.625,0.0,0.0,104,66.42857142857143,0.0,7752,2531,1.4000000000000001,13,1,2387.5,8,3,1,0,1
953,Competitive,2,5,0,3,0,5,2,1,4.0,7558.546327145139,316721.01862816524,104,78.0,1.3333333333333333,7978,3398,1.4599999999999997,5,1,2900.0,8,4,1,1,2
954,Competitive,1,6,0,2,1,0,3,4,3.625,1914.789462918428,52731.1030669829,77,75.0,0.0,6078,1284,1.6499999999999997,20,4,3725.0,8,3,0,0,2
955,Competitive,1,8,0,0,0,1,2,5,4.0,1700.4039161220487,41842.37725215107,79,65.625,0.0,9644,1380,1.75,8,7,3662.5,8,6,1,0,0
