index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
4062,Challenger,1,7,0,1,0,0,2,6,3.75,2355.1077360870936,64731.4960290463,76,77.14285714285714,6.0,7993,981,1.2142857142857142,21,6,3075.0,8,4,0,1,0
4063,Challenger,1,6,1,1,4,1,1,2,3.5,4843.052237291009,108104.72776332745,102,72.5,24.5,9624,1308,2.1,16,2,2756.25,8,3,2,1,0
4064,Challenger,3,7,0,1,1,1,4,2,4.5,0.0,0.0,86,62.142857142857146,1.1,9568,2961,1.957142857142857,7,5,4075.0,8,4,0,1,0
4065,Master,3,4,1,3,2,3,2,1,4.0,0.0,0.0,104,56.25,9.275,9936,2185,1.22,4,1,4212.5,8,6,1,2,1
4066,Master,3,7,0,1,1,2,3,2,3.125,3462.8373033588796,95157.55749530956,102,81.42857142857143,0.0,8238,2505,1.542857142857143,21,4,2125.0,8,4,1,1,0
4067,Master,3,6,0,2,1,1,2,4,3.875,53682.66110481713,1437721.773865438,104,72.5,4.0,9693,2377,1.3166666666666667,6,5,2706.25,8,4,1,2,0
4068,Master,1,5,1,2,4,4,0,0,4.0,2206.733511473965,99574.94636102748,104,81.0,10.0,10666,2902,1.4000000000000001,9,0,2937.5,8,4,2,1,1
4069,Master,1,5,1,2,1,4,1,2,3.0,11450.764104537002,361252.35635309166,104,81.0,10.0,7611,1294,1.3833333333333335,5,3,3381.25,8,3,1,0,2
4070,Challenger,1,4,1,3,1,3,3,1,3.25,4410.294525575357,164591.92983620337,99,90.0,5.275,5274,2100,3.1399999999999997,4,3,3787.5,8,5,1,1,2
4071,Master,1,4,0,4,2,1,4,1,4.267857142857143,4642.219935792348,122442.54758014303,103,63.75,1.5,10319,2157,1.625,4,2,3000.0,7,5,1,3,2
4072,Challenger,2,5,1,2,1,1,3,3,3.25,15782.607447208178,428090.0386797809,65,72.0,10.0,3538,784,1.1666666666666667,25,2,3681.25,8,3,1,0,2
4073,Master,2,6,0,2,2,1,3,2,3.75,28.105510388546673,273.386788948352,104,92.5,0.5,8473,1101,1.1666666666666667,24,2,2800.0,8,6,2,1,1
4074,Master,1,4,1,3,3,0,4,1,3.625,9049.159659699913,246037.20853212842,104,75.0,12.0,6034,1618,2.22,6,1,4962.5,8,4,0,1,1
4075,Champion,1,5,1,2,3,2,2,1,2.875,10249.611182687671,345976.13992674096,104,93.0,10.0,5489,2602,1.7666666666666666,10,1,2431.25,8,3,2,0,2
4076,Master,1,4,2,2,5,1,1,1,3.125,8002.980509903353,279497.8320488373,104,90.0,15.0,6346,2285,2.05,12,0,4493.75,8,4,1,0,2
4077,Master,1,6,1,1,2,4,1,1,4.0,0.0,0.0,104,90.0,24.5,10803,2262,2.242857142857143,24,1,1750.0,8,3,1,0,1
4078,Master,1,5,1,2,2,3,1,2,3.125,20376.45271039226,682387.0336698411,102,90.0,19.0,7411,1575,2.25,5,3,2312.5,8,4,1,1,1
4079,Challenger,1,7,0,1,3,3,1,1,3.875,0.0,0.0,96,79.28571428571429,0.0,8455,2798,1.557142857142857,16,2,2687.5,8,5,1,0,1
4080,Master,3,6,0,2,1,1,4,2,4.375,5364.794107304818,125228.74949463029,103,72.5,1.3,11521,1850,1.616666666666667,6,3,2706.25,8,5,1,1,1
4081,Champion,3,7,0,1,4,1,2,1,3.75,0.0,0.0,104,70.71428571428571,0.0,8160,2429,1.7571428571428573,28,2,2812.5,8,4,2,0,1
4082,Challenger,1,6,1,1,4,2,1,1,3.125,1579.1163062774156,41633.4825423932,102,90.0,15.0,7533,1584,0.9714285714285714,12,2,2118.75,8,5,0,1,0
4083,Master,1,7,0,1,4,2,2,0,3.625,7.114925175306581,42.29975021060343,104,77.14285714285714,0.0,9967,2645,1.557142857142857,12,2,2375.0,8,4,2,0,1
4084,Challenger,3,6,0,2,1,4,3,0,4.0,3314.270157845329,150016.80713660741,102,80.0,3.0,11317,3421,1.7166666666666668,10,2,2137.5,8,4,2,1,1
4085,Master,1,6,0,2,4,1,1,2,3.625,9208.308588233063,304384.1745754258,104,95.0,4.0,2572,1819,1.3166666666666667,16,2,3637.5,8,6,0,1,1
4086,Fun Deck,3,6,0,2,0,3,5,0,3.875,2206.733511473961,99574.94636102745,51,85.0,0.0,3860,1708,1.5166666666666666,20,1,2387.5,8,4,1,0,2
4087,Challenger,3,6,0,2,3,3,2,0,3.75,1107.536646371338,50441.860775579866,104,75.0,3.0,7689,3117,1.5666666666666667,15,1,2287.5,8,5,1,1,1
4088,Challenger,1,5,1,2,0,5,2,1,4.625,3315.162049737221,150022.57723202632,104,72.0,17.666666666666668,13396,3498,2.6999999999999997,5,2,1787.5,8,3,2,1,1
4089,Master,1,6,0,2,1,1,4,2,4.375,5364.794107304832,125228.74949463019,104,72.5,1.3,11619,1884,1.6166666666666665,6,3,2706.25,8,5,1,1,1
4090,Master,1,3,2,3,2,3,2,1,4.410714285714286,0.0,0.0,104,90.0,17.8,8907,1642,4.26,7,1,1462.5,7,3,1,1,3
4091,Fun Deck,2,7,0,1,1,1,6,0,4.25,0.0,0.0,48,72.85714285714286,0.0,6127,1532,1.4857142857142855,21,3,2587.5,8,4,0,0,1
4092,Fun Deck,1,4,1,3,1,1,5,1,3.625,3787.8289411889527,130714.68660648118,60,75.0,7.75,3278,1433,1.6,18,1,2937.5,8,4,2,1,2
4093,Master,3,6,0,2,2,1,3,2,3.875,26569.219251577142,703286.6440443697,104,72.5,4.0,9364,2322,1.2166666666666666,8,4,2031.25,8,4,1,2,0
4094,Master,2,5,1,2,2,1,4,1,3.875,2566.533431917977,66393.7118729152,101,84.0,10.366666666666667,11032,2295,1.45,9,3,2512.5,8,4,1,2,0
4095,Challenger,3,8,0,0,3,2,2,1,4.0,36.389909395325816,418.66051358736604,82,75.0,0.0,9759,2417,1.775,23,3,2225.0,8,2,3,0,0
4096,Challenger,3,7,0,1,1,3,0,4,4.0,8131.018336776397,340757.1833596927,81,81.42857142857143,0.0,10112,2038,1.3000000000000003,7,4,2331.25,8,3,1,0,1
4097,Challenger,1,5,1,2,1,4,3,0,3.875,1028.7332611430184,23924.735705221614,103,78.0,11.333333333333334,7901,1450,1.1833333333333333,20,0,2937.5,8,4,1,1,1
4098,Challenger,1,6,0,2,2,2,3,1,5.625,0.0,0.0,93,67.5,2.0,11191,3819,1.3999999999999997,12,2,2650.0,8,5,0,1,1
4099,Champion,2,4,1,3,3,1,3,1,3.75,4694.422992271434,132642.87717658776,104,56.25,8.5,9025,2565,1.6600000000000001,5,1,3400.0,8,4,1,1,2
4100,Challenger,2,6,0,2,5,2,1,0,4.0,0.0,0.0,104,77.5,0.0,8351,2661,1.1833333333333333,12,1,2687.5,8,5,1,1,1
4101,Master,1,5,1,2,3,2,1,2,3.0,14677.837990993703,537146.346116357,100,72.0,10.0,7765,2514,1.5166666666666666,7,2,2675.0,8,2,1,1,2
4102,Challenger,3,7,0,1,2,4,1,1,4.0,2206.733511473961,99574.94636102745,104,75.0,0.0,12670,2989,1.3714285714285717,7,3,2100.0,8,2,2,0,1
4103,Master,1,7,0,1,0,2,1,5,3.875,4902.751329197452,180012.83275990136,103,85.71428571428571,0.0,11018,2281,1.6142857142857143,21,4,2850.0,8,2,1,0,1
4104,Challenger,3,7,0,1,0,1,3,4,4.625,1538.7543915952176,39956.726510056156,75,70.71428571428571,0.0,8087,2652,1.6428571428571428,21,6,3118.75,8,4,0,0,1
4105,Challenger,3,6,0,2,2,3,2,1,5.0,0.0,0.0,90,80.0,2.0,5331,1658,1.0166666666666666,14,2,2500.0,8,4,1,1,1
4106,Master,2,5,0,3,2,3,2,1,3.625,6231.028763453953,184587.60304735356,104,69.0,0.0,8615,2454,1.6199999999999999,9,2,3100.0,8,4,1,1,2
4107,Challenger,1,7,0,1,2,2,3,1,3.5,2054.4459345777277,56953.43031978334,94,90.0,8.0,5342,1797,1.4857142857142858,31,1,2231.25,8,3,1,1,0
4108,Challenger,2,6,0,2,2,2,3,1,4.25,4642.219935792352,122442.54758014297,103,82.5,0.0,8816,3295,1.2666666666666666,21,3,2987.5,8,5,0,1,1
4109,Challenger,3,4,1,3,3,4,1,0,4.125,1689.6355177472356,43110.26862322479,104,82.5,12.25,5061,2331,2.2600000000000002,9,1,1587.5,7,3,2,2,2
4110,Challenger,2,8,0,0,1,3,2,2,5.125,1945.797469313806,53368.006422793354,102,63.75,0.0,12823,3741,1.6875,15,3,3356.25,8,3,1,0,0
4111,Challenger,1,6,0,2,2,1,3,2,2.625,0.8333333333333334,5.391250770178681,99,90.0,0.0,4641,3297,1.3,8,4,2231.25,8,4,1,1,2
4112,Challenger,3,5,0,3,1,2,3,2,3.5535714285714284,0.0,0.0,87,87.0,0.3333333333333333,3507,1020,1.26,27,2,1468.75,7,2,4,2,2
4113,Master,2,6,0,2,2,1,3,2,3.875,26569.219251577015,703286.6440443589,104,72.5,4.0,9364,2322,1.2166666666666666,8,4,2031.25,8,4,1,2,0
4114,Master,1,6,1,1,2,2,3,1,4.25,217.86054530392497,2432.424319991598,104,72.5,19.0,11493,2028,1.4571428571428573,20,2,2818.75,8,5,1,1,0
4115,Challenger,3,5,1,2,2,3,3,0,3.875,699.590562531972,19824.665645788835,104,78.0,18.666666666666668,5930,1182,2.6666666666666665,13,1,2675.0,8,4,1,1,1
4116,Challenger,2,6,0,2,3,4,0,1,3.0,24357.50315271381,897452.5007472766,104,97.5,0.0,5880,4113,1.7333333333333334,10,2,2243.75,8,5,2,0,2
4117,Master,2,5,1,2,5,1,0,2,3.375,6240.290303754413,182200.03027093725,104,102.0,10.0,5947,2876,1.9666666666666668,16,1,3262.5,8,3,0,0,2
4118,Challenger,3,7,0,1,2,2,3,1,4.25,4011.1669527474583,120316.14254631192,66,60.0,0.0,10127,1861,1.5857142857142859,9,2,2712.5,8,2,1,0,1
4119,Challenger,3,7,0,1,3,1,3,1,4.875,0.0,0.0,80,64.28571428571429,6.0,11112,1616,1.6714285714285713,8,2,4056.25,8,5,2,1,0
4120,Master,1,4,1,3,4,1,1,2,3.125,49183.48301884005,1415119.7166247817,100,90.0,7.5,4058,3053,1.34,8,2,3262.5,8,4,0,0,3
4121,Challenger,3,6,0,2,4,2,1,1,4.0,1791.1564691364813,41017.12940226805,102,82.5,0.0,10861,2533,1.3333333333333333,12,1,1906.25,8,5,1,1,1
4122,Master,2,6,0,2,2,1,2,3,3.75,39024.45283454128,1033761.5594294678,104,77.5,4.0,9329,2338,1.3,8,4,2031.25,8,4,1,2,0
4123,Challenger,1,6,0,2,2,1,3,2,3.875,18094.274346775237,477378.80523690925,99,72.5,4.0,9109,2242,1.2166666666666666,8,4,2031.25,8,4,1,2,1
4124,Challenger,1,6,0,2,3,3,2,0,4.125,0.0,0.0,98,80.0,0.0,8969,2307,1.5,8,1,2250.0,7,3,2,1,2
4125,Master,2,5,1,2,2,1,2,3,3.875,1613.69617514929,43037.773153559094,104,69.0,13.333333333333334,11676,2071,2.9,5,4,2287.5,8,5,2,1,1
4126,Challenger,1,5,1,2,1,2,1,4,4.125,0.0,0.0,80,60.0,13.333333333333334,8894,950,2.6666666666666665,5,4,2450.0,8,3,0,0,2
4127,Challenger,2,6,0,2,1,3,3,1,5.375,9.176290898671024,151.0438200579079,95,72.5,2.0,12390,4560,1.8333333333333333,10,2,2156.25,8,4,2,1,1
4128,Challenger,3,6,0,2,1,3,2,2,3.875,2206.733511473965,99574.94636102748,85,85.0,0.0,8035,2490,1.75,8,2,2737.5,8,4,1,1,1
4129,Master,1,5,1,2,5,1,0,2,3.0,31825.048822442197,1154806.5625221545,104,75.0,10.0,8315,2413,1.1666666666666667,7,2,3325.0,8,4,1,0,2
