index,rank,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles
5673,Master,4,2,2,2,3,2,1,4.0,2094.8078492599307,58630.1863521204,104,82.5,24.25,9370,1150,3.516666666666667,4,3,2650.0,8,4,0,2,0
5674,Master,5,1,2,4,3,0,1,3.5,1028.7332611430184,23924.735705221614,103,90.0,10.0,7213,1603,1.4333333333333333,12,1,3200.0,8,5,1,1,1
5675,Challenger,6,1,1,4,1,2,1,3.5,0.0,0.0,88,87.5,20.0,7270,1542,2.3714285714285714,10,2,2837.5,8,2,1,0,1
5676,Challenger,6,1,1,2,3,2,1,4.0,0.0,0.0,104,90.0,15.0,6593,2020,1.042857142857143,25,2,3950.0,8,4,0,0,1
5677,Challenger,8,0,0,5,2,1,0,4.25,0.0,0.0,101,80.625,0.0,8388,1913,1.375,35,0,2387.5,8,2,2,0,0
5678,Challenger,5,0,3,2,2,1,3,3.4107142857142856,2621.8347277428634,84703.03617030435,94,72.0,0.0,7198,1452,1.2,5,2,2625.0,7,3,1,1,3
5679,Master,3,1,4,1,2,3,2,3.625,6823.403098579232,194012.006590039,101,65.0,8.22,6829,1995,3.7500000000000004,3,1,3137.5,8,4,0,2,2
5680,Challenger,4,1,3,3,2,1,2,3.25,53694.56886649127,1497170.5011039386,81,90.0,7.5,3762,2241,1.2,8,2,3325.0,8,4,0,0,3
5681,Master,6,0,2,3,1,4,0,3.875,0.8918918918918919,5.77009541889394,103,80.0,5.0,7584,2511,1.5166666666666666,11,2,2262.5,8,4,1,2,0
5682,Master,5,0,3,3,3,1,1,3.375,1540.1886125612637,40948.49896695303,104,69.0,1.0,7624,2247,1.72,5,2,3487.5,8,3,1,2,1
5683,Challenger,6,0,2,3,0,3,2,4.25,14.323274300000023,186.38424601834305,90,77.5,0.75,7837,1581,1.3,26,3,2150.0,8,5,2,0,2
5684,Master,5,0,3,3,1,3,1,3.625,8309.803812162085,271418.600949855,104,75.0,0.3666666666666667,10338,2724,1.3,7,1,2650.0,8,4,1,2,1
5685,Challenger,7,0,1,1,1,4,2,4.5,28.105510388546673,273.386788948352,84,75.0,0.0,8549,3239,1.5857142857142859,26,3,2125.0,8,3,1,0,1
5686,Master,4,1,3,4,3,0,1,2.75,13500.276213071875,504739.2639476685,104,82.5,8.25,6162,1704,1.3199999999999998,7,0,2925.0,8,2,1,2,2
5687,Master,7,0,1,1,1,3,3,4.125,28442.223503362813,762199.6645445215,104,70.71428571428571,8.0,10095,2515,1.4857142857142858,7,5,3143.75,8,4,1,1,0
5688,Challenger,5,1,2,3,4,0,1,2.625,78921.74504339662,3243635.4221487883,104,87.0,10.0,5821,2417,1.2333333333333334,7,2,2806.25,8,4,2,0,2
5689,Challenger,6,0,2,2,0,1,5,3.875,6951.0901352209075,195906.69895242085,67,72.5,0.0,7397,1841,1.6500000000000001,10,4,3156.25,8,4,0,1,1
5690,Master,6,0,2,1,1,2,4,3.875,53682.66110481724,1437721.7738654697,99,72.5,4.0,9331,2302,1.3166666666666667,6,5,2706.25,8,4,1,2,0
5691,Challenger,4,1,3,1,3,2,2,4.375,458.0672023962625,11377.790327885765,96,75.0,12.875,5814,1142,3.1,4,2,3775.0,8,5,0,0,3
5692,Master,6,0,2,0,0,5,3,4.125,9678.980876165631,268736.8592823301,104,67.5,4.0,10046,2287,1.4666666666666668,6,4,3262.5,8,4,0,1,1
5693,Challenger,7,0,1,1,1,2,4,4.5,0.0,0.0,100,75.0,0.0,12760,3020,1.7,21,5,2700.0,8,3,1,0,1
5694,Challenger,7,1,0,5,2,0,1,3.75,2487.6014997095626,63408.091488916485,82,70.71428571428571,30.0,9112,1675,1.6624999999999999,9,1,4362.5,8,5,1,0,0
5695,Master,7,1,0,2,3,1,2,3.875,0.0,0.0,103,90.0,49.0,13369,1849,2.3,7,3,2525.0,8,4,1,0,0
5696,Master,5,2,1,2,3,2,1,4.5,0.0,0.0,104,75.0,26.333333333333332,15540,2054,2.0428571428571427,11,1,2606.25,8,3,2,0,1
5697,Master,4,1,3,1,3,3,1,3.875,12541.013659413135,343063.0892671412,104,78.75,14.25,9009,2424,2.6799999999999997,4,1,3000.0,8,4,0,2,1
5698,Challenger,6,0,2,2,2,3,1,4.25,2581.49625499447,53653.51590991146,104,77.5,0.75,11412,2440,1.6833333333333333,10,2,2118.75,8,6,1,0,2
5699,Master,5,0,3,2,3,2,1,4.25,4.377425284476954,20.59383382539004,103,66.0,1.3333333333333333,11833,2798,1.42,5,1,3787.5,8,4,1,1,2
5700,Master,4,1,3,0,1,5,2,4.25,8815.726584836177,234700.78818013106,104,63.75,5.65,10654,1057,3.44,4,2,3793.75,8,5,1,1,2
5701,Master,5,1,2,1,1,3,3,3.625,8766.330636448061,241534.80304456322,104,78.0,10.0,9480,1424,1.3333333333333333,15,3,3043.75,8,3,1,0,2
5702,Challenger,4,2,2,5,1,1,1,3.0,34409.273469519416,1256494.1555536457,95,82.5,15.0,5528,1853,0.8500000000000001,7,1,4075.0,8,4,0,0,2
5703,Challenger,7,0,1,0,0,3,5,5.0,1945.797469313797,53368.00642279342,69,60.0,10.0,9851,2328,1.614285714285714,21,5,2950.0,8,3,0,0,0
5704,Challenger,5,0,3,2,1,5,0,3.875,0.0,0.0,101,72.0,2.0,7712,1577,1.26,24,2,2375.0,8,4,0,2,1
5705,Master,5,1,2,0,3,3,2,3.875,4480.977337557508,125480.44232828924,104,81.0,16.0,9928,1133,2.716666666666667,5,3,2975.0,8,5,1,1,1
5706,Challenger,8,0,0,1,4,2,1,4.625,0.0,0.0,100,69.375,0.0,14337,2998,1.4375,8,3,3425.0,8,3,2,0,0
5707,Challenger,5,0,3,2,2,1,3,3.4107142857142856,0.0,0.0,98,78.0,0.0,6003,2225,1.16,7,2,2237.5,7,3,1,2,2
