,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'26000000', '28000012', '28000015'})",frozenset({'26000023'}),0.012571428571428572,0.07985714285714286,0.011857142857142858,0.9431818181818182,11.810863555049602,0.010853224489795919,16.194514285714302
1,"frozenset({'26000000', '28000015', '26000023'})",frozenset({'28000012'}),0.012428571428571428,0.1215,0.011857142857142858,0.9540229885057473,7.852041057660472,0.01034707142857143,19.107375000000072
2,"frozenset({'28000012', '26000000', '26000015'})",frozenset({'26000023'}),0.012642857142857143,0.07985714285714286,0.01107142857142857,0.8757062146892655,10.965909665160748,0.01006180612244898,7.402967532467528
3,"frozenset({'26000015', '26000000', '26000023'})",frozenset({'28000012'}),0.012071428571428571,0.1215,0.01107142857142857,0.9171597633136094,7.548640027272505,0.009604749999999999,10.604749999999989
4,"frozenset({'26000000', '28000015', '26000023'})",frozenset({'26000015'}),0.012428571428571428,0.2552857142857143,0.011,0.8850574712643678,3.46692909840547,0.007827163265306122,6.479014285714287
5,"frozenset({'26000015', '26000000', '26000023'})",frozenset({'28000015'}),0.012071428571428571,0.1285,0.011,0.9112426035502958,7.091382128796076,0.009448821428571428,9.818899999999998
6,"frozenset({'26000000', '28000012', '28000015', '26000015'})",frozenset({'26000023'}),0.011428571428571429,0.07985714285714286,0.010928571428571428,0.9562499999999999,11.974508050089444,0.010015918367346938,21.031836734693847
7,"frozenset({'28000012', '26000000', '26000023', '26000015'})",frozenset({'28000015'}),0.01107142857142857,0.1285,0.010928571428571428,0.9870967741935485,7.681686958704657,0.009505892857142857,67.5412500000004
8,"frozenset({'26000000', '28000012', '28000015', '26000023'})",frozenset({'26000015'}),0.011857142857142858,0.2552857142857143,0.010928571428571428,0.9216867469879517,3.6104125511559384,0.007901612244897958,9.509428571428561
9,"frozenset({'26000000', '26000015', '28000015', '26000023'})",frozenset({'28000012'}),0.011,0.1215,0.010928571428571428,0.9935064935064936,8.177008177008178,0.009592071428571429,135.28900000000112
10,"frozenset({'28000012', '26000000', '26000015'})","frozenset({'28000015', '26000023'})",0.012642857142857143,0.02692857142857143,0.010928571428571428,0.8644067796610169,32.099986512610705,0.010588117346938776,7.1764017857142814
11,"frozenset({'26000000', '28000012', '28000015'})","frozenset({'26000015', '26000023'})",0.012571428571428572,0.03535714285714286,0.010928571428571428,0.8693181818181818,24.58677685950413,0.010484081632653061,7.381614906832295
12,"frozenset({'26000015', '26000000', '26000023'})","frozenset({'28000012', '28000015'})",0.012071428571428571,0.052071428571428574,0.010928571428571428,0.9053254437869822,17.38622251442764,0.010299994897959183,10.012495535714281
13,"frozenset({'26000000', '28000015', '26000023'})","frozenset({'28000012', '26000015'})",0.012428571428571428,0.0675,0.010928571428571428,0.8793103448275862,13.026819923371646,0.010089642857142856,7.7264285714285705
14,"frozenset({'28000015', '26000023'})",frozenset({'28000012'}),0.02692857142857143,0.1215,0.02457142857142857,0.9124668435013261,7.510015172850421,0.02129960714285714,10.036196969696954
15,"frozenset({'28000015', '26000023'})",frozenset({'26000015'}),0.02692857142857143,0.2552857142857143,0.02264285714285714,0.8408488063660476,3.2937558167668346,0.015768377551020406,4.679288095238092
16,"frozenset({'28000012', '26000023', '26000015'})",frozenset({'28000015'}),0.026642857142857142,0.1285,0.022285714285714287,0.836461126005362,6.509425105100093,0.018862107142857146,5.329008196721315
