index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
7678,Master,1,4,2,2,2,4,1,1,3.375,189.50053110114925,7756.262632601991,103,63.75,15.0,8131,2236,1.25,6,1,3981.25,8,4,1,0,2,True
7679,Challenger,3,5,1,2,1,3,2,2,4.0,0.0,0.0,78,63.0,10.0,9235,1196,1.366666666666667,5,3,3600.0,8,5,1,1,1,True
7680,Challenger,3,6,0,2,5,0,2,1,3.0,1.6903774111144214,8.281238321752623,101,90.0,0.0,3361,1191,1.3166666666666667,27,1,2362.5,8,4,0,1,1,True
7681,Challenger,3,6,0,2,2,3,1,2,4.375,0.0,0.0,100,85.0,0.75,9905,1846,1.4166666666666667,15,1,2362.5,8,4,1,0,2,True
7682,Challenger,1,6,0,2,4,0,4,0,3.625,0.0,0.0,91,80.0,0.0,3858,2130,1.3333333333333333,25,2,2400.0,8,4,1,0,2,True
7683,Challenger,1,5,1,2,2,2,2,2,2.75,6.948535681018516,36.28623598455082,101,84.0,10.0,4990,1103,1.3,13,2,3618.75,8,2,1,0,2,True
7684,Master,1,5,0,3,2,4,1,1,3.0,0.0,0.0,104,102.0,0.0,6509,2413,1.3599999999999999,9,1,2300.0,8,3,1,1,2,True
7685,Challenger,3,5,0,3,0,3,3,2,3.625,9.536602738888556,132.91564641212227,93,57.0,0.3666666666666667,5838,2278,1.5,5,5,3437.5,8,4,1,1,2,True
7686,Challenger,1,5,0,3,1,0,3,4,4.0,5.331554304226233,66.02396247816469,89,66.0,6.0,8165,1615,1.6400000000000001,5,3,3137.5,8,4,0,1,1,True
7687,Challenger,2,6,0,2,1,4,1,2,3.75,0.0,0.0,97,85.0,0.0,8324,1913,1.25,10,3,2831.25,8,4,1,0,2,True
7688,Challenger,3,4,1,3,4,3,0,1,2.75,5.307826127880639,22.76723070376313,93,82.5,8.25,5618,1322,1.32,7,0,2925.0,8,2,1,2,2,True
7689,Master,1,4,1,3,2,2,1,3,3.5,172.1097606834703,3201.8617430031763,104,75.0,12.25,5360,2778,2.54,8,2,2700.0,8,3,0,0,3,True
7690,Master,2,4,0,4,2,3,2,1,4.375,4.311495225897662,64.77117374781245,104,63.75,2.875,9700,2264,1.725,4,1,2893.75,8,7,1,1,2,True
7691,Master,3,7,0,1,1,4,3,0,5.0,0.0,0.0,104,77.14285714285714,0.0,12629,3553,1.3857142857142857,11,3,2331.25,8,3,1,0,1,True
7692,Challenger,3,4,0,4,1,2,4,1,3.267857142857143,0.0,0.0,104,105.0,0.0,3633,1955,1.35,22,0,1737.5,7,3,2,1,4,True
7693,Challenger,1,7,0,1,1,3,4,0,4.75,0.0,0.0,95,72.85714285714286,0.0,9023,3494,1.4857142857142855,12,4,2762.5,8,5,2,0,1,True
7694,Challenger,3,7,0,1,4,0,1,3,3.25,0.0,0.0,72,94.28571428571429,0.0,6254,872,1.1,23,3,1931.25,8,4,1,1,1,True
7695,Challenger,1,6,1,1,1,4,0,3,4.0,16.08841463414634,391.6359901776399,103,75.0,24.5,10342,2449,2.085714285714286,10,3,2512.5,8,3,1,0,1,True
7696,Challenger,1,5,1,2,2,3,1,2,3.625,0.8306878306878306,4.926974084743954,90,87.0,10.0,8950,2474,1.6166666666666665,9,1,2925.0,8,3,1,0,2,True
7697,Challenger,1,5,1,2,2,2,2,2,3.875,18.21159420289855,580.6696801481658,93,78.0,12.0,5038,1944,1.2833333333333334,10,2,3787.5,8,6,0,1,1,True
7698,Fun Deck,3,5,0,3,1,0,4,3,3.875,1.6829971181556194,13.455213841890735,64,60.0,2.0,6768,1387,1.5400000000000003,19,3,3350.0,8,4,1,2,1,True
7699,Challenger,1,4,1,3,2,2,2,2,3.875,7.543353165001675,117.02031790467765,89,71.25,7.5,9497,1841,1.3,4,2,2768.75,8,4,0,1,2,True
7700,Master,1,5,0,3,3,1,2,2,3.875,0.0,0.0,101,66.0,0.0,5918,3878,1.8,10,3,2137.5,8,4,1,1,2,True
7701,Challenger,1,6,1,1,1,4,2,1,4.375,0.0,0.0,97,67.5,15.0,10761,2208,1.2285714285714284,20,1,3900.0,8,5,1,0,1,True
7702,Challenger,3,6,0,2,0,0,4,4,3.875,0.0,0.0,72,70.0,3.0,6702,1859,1.6666666666666667,8,4,3287.5,8,4,1,1,1,True
