index,rank,crowns,troop,building,spell,common,rare,epic,legendary,elixir,conf_synergy,lift_synergy,levelSum,avgSpeed,avgSpellDuration,totalHP,totalDMG,avgAS,totalUnitsCount,abilityCount,avgRange,totalGroundT,totalAirT,totalBuildingT,totalBuffCount,totalProjectiles,winner
0,Fun Deck,3,6,0,2,0,1,4,3,3.25,0.8655692729766804,11.411592260734086,67,70.0,3.0,3922,1165,1.2333333333333334,20,4,2712.5,8,3,1,1,1,True
1,Challenger,2,5,0,3,1,1,4,2,3.375,0.0,0.0,84,72.0,0.0,5637,1320,1.4200000000000002,19,2,2712.5,8,3,0,0,3,True
2,Challenger,1,5,1,2,1,2,3,2,4.25,22.712827620121388,267.7779341615366,104,75.0,23.7,12510,1847,1.3166666666666667,5,3,2018.75,7,5,1,2,0,True
3,Master,1,7,1,0,3,3,2,0,4.875,0.0,0.0,104,79.28571428571429,49.0,13902,2100,2.075,27,1,1925.0,8,2,2,0,0,True
4,Challenger,1,7,0,1,4,2,1,1,3.75,0.0,0.0,104,77.14285714285714,0.0,6475,2068,1.4285714285714284,11,2,4175.0,8,6,0,0,1,True
5,Challenger,3,5,0,3,1,1,5,1,4.5,23.16992546115186,294.4164928024373,104,63.0,1.8666666666666665,11483,1688,1.7399999999999998,5,2,3056.25,8,4,1,2,1,True
6,Challenger,1,5,1,2,4,2,1,1,3.75,4.146951073578637,41.75386280574802,104,81.0,10.0,9713,3194,1.2833333333333332,8,1,2481.25,8,5,1,1,1,True
7,Challenger,1,6,0,2,1,0,2,5,4.125,0.0,0.0,88,65.0,0.0,9556,1708,1.8166666666666667,6,5,3925.0,8,3,0,0,2,True
8,Challenger,1,4,1,3,4,3,0,1,3.25,136.99334855482368,5630.770795223518,94,82.5,7.5,5720,2037,1.2399999999999998,7,0,3062.5,8,4,1,0,3,True
9,Challenger,3,7,0,1,1,2,3,2,4.125,0.0,0.0,90,85.71428571428571,1.1,6987,2213,1.242857142857143,22,3,3025.0,8,4,0,1,0,True
10,Challenger,2,6,0,2,2,1,3,2,3.625,3.4971594090311022,39.64216499395586,95,85.0,0.55,6010,1223,1.1666666666666667,13,3,2381.25,8,4,1,2,1,True
11,Master,1,5,1,2,3,2,2,1,3.25,2.576953810703715,11.358860735954027,104,84.0,12.0,7268,2613,1.5166666666666668,9,2,3162.5,8,5,1,1,1,True
12,Challenger,3,6,0,2,2,0,2,4,4.5,0.0,0.0,86,67.5,4.0,10459,1717,1.683333333333333,7,4,3812.5,8,3,1,1,1,True
13,Challenger,3,6,0,2,2,4,1,1,3.875,0.0,0.0,104,80.0,0.0,10330,2656,1.3499999999999999,9,1,2681.25,8,3,1,1,1,True
14,Challenger,3,5,0,3,3,1,2,2,3.375,0.8072727272727273,5.06127101738387,104,78.0,2.0,6012,2517,1.7000000000000004,9,2,3150.0,8,4,1,1,2,True
15,Challenger,1,3,2,3,1,3,2,2,4.25,0.0,0.0,101,100.0,17.7,7176,1456,2.34,3,2,2937.5,8,5,0,1,2,True
16,Challenger,3,5,0,3,3,0,4,1,4.125,0.0,0.0,94,72.0,0.3333333333333333,6673,1103,1.2399999999999998,11,3,2100.0,7,4,2,2,2,True
17,Challenger,2,5,1,2,2,3,0,3,3.125,12.584080930926298,226.7136399494637,73,96.0,10.0,5190,1172,1.1833333333333333,7,2,2706.25,8,1,1,0,2,True
18,Challenger,3,7,0,1,2,2,3,1,4.125,0.0,0.0,104,85.71428571428571,1.0,7503,1452,1.2714285714285711,33,2,1868.75,8,4,2,1,0,True
19,Challenger,3,6,0,2,1,0,6,1,4.125,15.722680762773063,413.34224561550246,92,67.5,4.0,8284,1567,1.2833333333333334,20,2,2987.5,8,4,0,1,1,True
20,Challenger,3,7,0,1,0,5,1,2,4.125,0.0,0.0,103,77.14285714285714,0.0,12744,2942,1.4285714285714286,21,1,2487.5,8,2,1,0,1,True
21,Challenger,3,5,1,2,0,4,2,2,4.125,0.0,0.0,103,72.0,12.0,8934,2359,1.1333333333333335,5,3,4187.5,8,6,1,1,1,True
22,Challenger,1,5,1,2,3,3,1,1,4.25,0.0,0.0,95,84.0,10.0,8609,2430,1.4166666666666667,6,2,3212.5,8,5,1,0,2,True
23,Challenger,3,7,0,1,1,2,2,3,4.0,0.0,0.0,77,75.0,1.0,4532,2598,1.8714285714285714,26,3,3268.75,8,4,1,1,0,True
24,Fun Deck,3,7,0,1,1,2,2,3,3.375,32.69665422064679,752.2698544765789,82,77.14285714285714,0.0,5853,1534,1.0714285714285716,8,4,2268.75,8,2,2,0,1,True
25,Challenger,1,4,1,3,3,2,1,2,3.25,1610.4542332138456,33550.5070117165,87,90.0,7.5,4087,2407,1.2,8,2,3325.0,8,4,0,0,3,True
26,Master,1,5,1,2,3,1,2,2,2.75,0.8306878306878306,4.926974084743954,95,102.0,12.666666666666666,5249,1332,1.3666666666666665,12,1,2812.5,8,3,1,1,1,True
27,Challenger,2,6,0,2,1,1,4,2,4.625,0.8655692729766804,11.411592260734086,100,62.5,0.0,13878,3582,1.4333333333333333,6,4,2081.25,8,5,1,1,1,True
28,Challenger,3,6,1,1,1,3,2,2,3.75,0.0,0.0,86,85.0,20.0,6660,1505,2.3857142857142857,24,2,1612.5,8,3,0,0,1,True
29,Challenger,1,5,1,2,2,3,1,2,3.5,0.0,0.0,73,90.0,6.666666666666667,5361,1585,2.716666666666667,8,3,3162.5,8,5,1,1,2,True
30,Challenger,3,6,1,1,1,3,2,2,4.25,0.0,0.0,99,85.0,20.0,11138,2122,2.585714285714286,8,3,1912.5,8,4,0,0,1,True
31,Master,1,5,1,2,1,1,2,4,4.0,72.74680260902575,2121.2920425651087,104,81.0,16.0,10186,2208,3.0833333333333335,6,3,2437.5,8,3,0,1,1,True
32,Challenger,3,5,0,3,0,2,1,5,4.0,0.0,0.0,82,78.0,0.0,7859,1842,1.38,5,4,2875.0,8,3,0,0,3,True
33,Challenger,2,7,0,1,4,0,2,2,3.625,0.0,0.0,84,79.28571428571429,0.0,9567,1637,1.6428571428571428,11,3,2675.0,8,4,1,1,0,True
34,Challenger,3,7,0,1,1,0,4,3,4.5,0.0,0.0,77,62.142857142857146,6.0,11196,1963,1.4714285714285715,21,5,2987.5,8,3,2,1,0,True
35,Master,1,5,1,2,1,1,4,2,3.875,0.8417391304347825,4.758276599405215,103,69.0,9.333333333333334,10516,2873,3.0,5,2,2762.5,8,4,0,2,1,True
36,Master,1,5,1,2,4,2,1,1,2.875,0.0,0.0,104,102.0,10.0,5766,2125,1.366666666666667,12,1,2700.0,8,4,1,0,2,True
37,Master,1,3,2,3,3,1,2,2,3.5,36.832065860162324,577.3239354734254,100,70.0,12.22,6185,2700,1.06,5,1,4450.0,8,4,0,1,2,True
38,Master,2,5,1,2,2,4,1,1,3.625,0.0,0.0,104,90.0,11.0,8446,2280,1.45,7,1,2800.0,8,3,1,1,1,True
39,Challenger,3,6,0,2,3,2,1,2,3.625,0.0,0.0,92,62.5,0.0,8367,1955,1.5166666666666666,6,3,3487.5,8,5,1,1,1,True
40,Challenger,2,7,0,1,2,2,2,2,3.75,0.0,0.0,84,85.71428571428571,0.0,6575,2288,1.3857142857142855,11,2,2625.0,8,2,0,0,1,True
41,Challenger,2,4,1,3,3,2,1,2,3.25,1610.4542332138458,33550.50701171651,77,90.0,7.5,3562,2059,1.2,8,2,3325.0,8,4,0,0,3,True
42,Challenger,1,5,1,2,1,2,1,4,3.625,0.0,0.0,72,66.0,13.333333333333334,5695,1320,2.6,5,4,2912.5,8,4,0,0,2,True
43,Challenger,1,3,1,4,1,4,2,1,4.375,0.0,0.0,104,75.0,12.6,8681,2909,2.95,3,0,2437.5,8,5,1,2,1,True
44,Challenger,1,5,1,2,3,4,0,1,2.625,2701.1974558450975,105534.85613644468,96,87.0,10.0,5459,1924,1.2333333333333334,7,2,2806.25,8,4,2,0,2,True
45,Master,1,6,0,2,2,3,2,1,4.0,0.0,0.0,103,72.5,0.0,9506,4333,1.8166666666666667,12,2,2550.0,8,4,1,1,1,True
46,Challenger,3,6,0,2,3,4,0,1,3.25,0.0,0.0,100,100.0,0.0,6122,3325,1.0166666666666666,7,3,1787.5,8,5,0,1,1,True
47,Challenger,3,3,1,4,4,1,1,2,3.125,316.8630486267949,6022.2415833168725,102,80.0,6.0,3966,3130,1.4,3,2,3700.0,8,5,0,0,4,True
48,Fun Deck,3,6,0,2,4,3,1,0,3.375,0.0,0.0,52,72.5,0.0,4829,1365,1.2,10,0,2750.0,8,5,2,0,2,True
49,Master,1,4,2,2,5,1,1,1,3.0,49.29086902843741,652.8291608667049,104,82.5,15.0,6074,2063,0.8500000000000001,7,1,4075.0,8,4,0,0,2,True
50,Challenger,3,8,0,0,0,2,4,2,4.25,0.0,0.0,73,63.75,0.0,7595,2760,1.8125,22,5,2950.0,8,3,2,0,0,True
51,Challenger,1,5,1,2,2,1,4,1,3.267857142857143,1.7277916044466568,8.411936547304775,104,78.0,10.0,6199,943,1.45,15,2,2556.25,7,2,2,1,2,True
52,Master,2,4,1,3,2,1,4,1,3.875,0.0,0.0,103,82.5,9.5,8592,1210,1.06,22,2,2612.5,8,5,0,2,1,True
53,Challenger,3,5,1,2,4,1,2,1,2.75,0.0,0.0,101,96.0,10.0,5804,896,1.2166666666666666,17,1,2993.75,8,3,1,0,2,True
54,Master,1,3,1,4,1,1,4,2,3.5,7.842748846517443,66.29069757172617,102,70.0,9.02,5868,672,1.5,3,1,4212.5,8,5,0,2,1,True
55,Challenger,1,7,0,1,2,0,6,0,3.5,0.0,0.0,65,81.42857142857143,0.0,4068,1097,1.3428571428571432,19,3,2368.75,8,3,1,0,1,True
56,Challenger,1,3,2,3,3,1,2,2,3.5,36.832065860162324,577.3239354734254,97,70.0,12.22,5938,2651,1.06,5,1,4450.0,8,4,0,1,2,True
57,Challenger,3,5,1,2,1,2,2,3,4.5,0.0,0.0,86,66.0,13.333333333333334,7394,2113,2.716666666666667,19,4,2587.5,8,5,0,0,2,True
58,Challenger,3,5,1,2,1,3,2,2,3.875,0.0,0.0,77,66.0,10.0,6813,1296,1.3,5,3,3062.5,8,4,0,1,1,True
59,Master,2,6,0,2,3,0,4,1,4.0,4.206710173000451,36.48000400893936,104,72.5,0.55,11304,2634,1.9666666666666668,10,3,2831.25,8,6,1,2,0,True
60,Master,1,4,1,3,4,2,1,1,2.875,151.44041546995115,2851.417973546174,104,97.5,7.5,4091,3052,0.8600000000000001,6,2,2950.0,8,4,0,0,3,True
61,Challenger,1,5,1,2,1,2,2,3,4.375,9.524347094297552,103.34014421702196,73,81.0,10.0,9269,2069,1.5666666666666664,9,4,3175.0,8,2,0,0,2,True
62,Master,1,5,1,2,3,0,4,1,3.75,0.8416886543535619,4.43460829480275,104,78.0,10.5,9841,1961,1.0999999999999999,11,1,2906.25,8,3,1,0,2,True
63,Master,1,6,0,2,1,0,6,1,4.125,0.0,0.0,104,65.0,1.05,9153,1970,1.1333333333333333,16,3,2918.75,8,4,2,2,0,True
64,Challenger,1,6,0,2,0,1,2,5,3.625,1.6244744456249012,7.461558519365559,69,77.5,0.0,5208,1939,1.6333333333333335,20,4,3006.25,8,3,0,0,2,True
65,Challenger,2,6,0,2,4,1,2,1,3.8392857142857144,0.8125000000000001,7.001292546316244,103,82.5,0.0,8251,1793,1.2166666666666668,10,2,2150.0,7,2,3,2,1,True
66,Master,2,5,0,3,1,1,4,2,4.125,7.663126635024309,82.7519988316421,100,63.0,3.033333333333333,12391,1506,1.48,5,2,2756.25,8,6,1,3,0,True
67,Challenger,1,5,0,3,1,3,2,2,4.0,0.852233676975945,11.235776888278773,103,69.0,0.0,9882,3449,1.6199999999999999,7,1,2393.75,8,4,1,1,2,True
68,Challenger,1,5,1,2,2,3,2,1,2.875,1.6939487531457331,14.666859153101887,92,69.0,10.0,6400,1746,1.7333333333333332,7,3,2756.25,8,3,2,1,2,True
69,Challenger,3,5,1,2,0,1,4,3,3.75,0.0,0.0,100,84.0,10.333333333333334,8903,990,1.2833333333333334,20,3,2650.0,8,3,2,1,1,True
70,Challenger,1,5,1,2,5,2,0,1,2.75,123.1234224265103,4733.1457000576365,87,90.0,10.0,5129,1965,1.0666666666666667,8,1,2737.5,8,4,1,0,2,True
71,Challenger,2,8,0,0,2,1,2,3,5.125,0.0,0.0,81,75.0,0.0,11725,1760,1.275,14,5,2400.0,8,3,0,0,0,True
72,Master,1,4,1,3,1,2,3,2,3.5,34.42957042163695,318.7047751209995,102,82.5,7.875,4813,1078,1.2600000000000002,18,2,4012.5,8,4,0,0,3,True
73,Challenger,2,7,0,1,3,1,2,2,4.25,0.8655692729766804,11.411592260734086,103,70.71428571428571,0.0,10331,1581,1.2714285714285716,26,2,2675.0,8,5,1,0,1,True
74,Master,1,4,1,3,3,2,0,3,3.5,0.0,0.0,100,82.5,7.5,10275,1688,1.22,8,2,2650.0,8,4,0,1,2,True
75,Challenger,2,6,1,1,2,3,1,2,3.375,0.0,0.0,95,95.0,15.0,8068,1388,1.1428571428571428,24,2,1956.25,8,3,1,0,1,True
76,Challenger,2,8,0,0,3,1,0,4,4.25,0.0,0.0,104,75.0,0.0,10185,1812,1.4,16,4,2662.5,8,5,0,0,0,True
77,Challenger,3,6,0,2,2,4,0,2,3.0,11.753393100238466,221.7866658647198,103,80.0,0.0,7886,2618,1.4333333333333336,8,1,2650.0,8,3,1,1,1,True
78,Master,2,7,0,1,1,2,4,1,3.5,0.0,0.0,104,81.42857142857143,1.0,7600,2347,1.3857142857142857,31,2,1631.25,8,3,3,1,0,True
79,Challenger,1,5,1,2,3,1,2,2,4.0,0.0,0.0,104,93.0,16.666666666666668,7994,871,2.033333333333333,28,2,1725.0,8,4,2,1,1,True
80,Challenger,1,7,0,1,4,2,0,2,3.125,0.0,0.0,103,81.42857142857143,0.0,5184,2086,1.3,9,2,3900.0,8,6,0,1,0,True
81,Master,2,5,0,3,3,3,1,1,3.5,0.0,0.0,104,81.0,3.3333333333333335,7473,2015,1.3199999999999998,23,0,2525.0,8,5,1,1,2,True
82,Challenger,2,7,0,1,1,1,3,3,4.0,0.0,0.0,97,68.57142857142857,6.0,7785,2525,1.7857142857142858,12,5,3637.5,8,5,1,1,0,True
83,Challenger,1,7,0,1,1,1,1,5,3.875,2.5795909876016587,21.336780736450912,79,75.0,0.0,5682,2612,1.957142857142857,11,5,3906.25,8,3,0,0,1,True
84,Challenger,1,6,0,2,3,3,1,1,3.125,0.8367346938775511,5.245985541552044,88,85.0,0.0,5767,2006,1.5999999999999999,24,1,2362.5,8,4,1,1,1,True
85,Challenger,1,7,0,1,2,2,2,2,4.125,0.0,0.0,104,66.42857142857143,0.0,9830,1835,1.257142857142857,21,3,3681.25,8,4,1,0,1,True
86,Challenger,1,4,2,2,5,1,1,1,3.0,49.2908690284374,652.829160866705,96,82.5,15.0,5486,1925,0.85,7,1,4075.0,8,4,0,0,2,True
87,Challenger,1,7,0,1,2,2,1,3,3.5,0.827977315689981,7.134660195519009,78,85.71428571428571,0.0,5106,1143,1.1714285714285715,23,3,2518.75,8,5,1,1,0,True
88,Challenger,1,5,1,2,2,4,2,0,3.25,0.0,0.0,103,75.0,11.366666666666667,6673,1220,1.2,11,2,3600.0,8,5,2,2,0,True
89,Master,1,7,0,1,2,4,2,0,4.25,0.0,0.0,104,79.28571428571429,0.0,11076,3085,1.5571428571428572,29,1,1568.75,8,3,3,0,1,True
90,Challenger,3,7,0,1,2,2,3,1,4.375,0.0,0.0,77,64.28571428571429,4.0,8040,1358,1.457142857142857,8,2,3675.0,8,5,0,1,0,True
91,Challenger,1,5,1,2,0,2,3,3,4.625,14.584955331878085,294.81083495044896,92,72.0,10.0,9466,3504,1.5,19,4,3025.0,8,4,1,0,2,True
92,Master,2,6,0,2,1,1,2,4,3.875,1516.1561686412304,38678.28920922671,103,72.5,4.0,9595,2356,1.3166666666666667,6,5,2706.25,8,4,1,2,0,True
93,Challenger,3,5,0,3,1,0,5,2,4.0,0.8141592920353983,8.570097810898929,69,75.0,1.7,7057,2073,1.7600000000000002,5,3,2750.0,8,5,1,3,0,True
94,Master,2,4,1,3,3,2,1,2,3.25,1610.4542332138456,33550.507011716516,104,90.0,7.5,4960,2918,1.2,8,2,3325.0,8,4,0,0,3,True
95,Challenger,1,8,0,0,1,1,2,4,3.875,0.0,0.0,90,82.5,0.0,7688,1722,0.975,22,5,2925.0,8,5,0,0,0,True
96,Master,1,4,2,2,5,1,1,1,3.0,49.290869028437406,652.8291608667049,104,82.5,15.0,6074,2063,0.8500000000000001,7,1,4075.0,8,4,0,0,2,True
97,Master,1,4,2,2,5,1,1,1,3.0,49.290869028437406,652.8291608667049,100,82.5,15.0,5731,1993,0.85,7,1,4075.0,8,4,0,0,2,True
98,Master,1,4,1,3,0,1,5,2,4.25,5.919916481339406,56.92489300622976,100,71.25,9.5,9367,1597,3.28,4,2,3550.0,8,4,0,1,1,True
99,Master,1,4,1,3,0,1,3,4,4.125,2.55958230958231,20.125388377757282,102,67.5,9.5,8734,1677,3.4,4,3,3612.5,8,4,0,1,1,True
100,Challenger,3,6,1,1,2,0,2,4,4.25,0.0,0.0,96,70.0,15.0,9814,1731,1.2,12,5,3531.25,8,5,1,0,1,True
101,Challenger,3,6,0,2,0,3,2,3,4.875,0.0,0.0,104,70.0,2.0,12214,3413,1.1500000000000001,6,4,2825.0,8,5,0,1,1,True
102,Fun Deck,1,7,0,1,0,1,4,3,4.0,0.0,0.0,69,72.85714285714286,0.0,7180,1454,1.3000000000000003,21,4,3000.0,8,3,0,0,1,True
103,Challenger,3,6,0,2,0,2,3,3,4.125,0.0,0.0,98,80.0,4.0,10242,1650,1.45,20,3,2700.0,8,3,1,1,1,True
104,Challenger,2,7,0,1,1,3,2,2,4.875,0.0,0.0,73,64.28571428571429,0.0,8632,2533,1.5142857142857142,12,4,2950.0,8,5,1,0,1,True
105,Challenger,1,6,0,2,2,2,2,2,4.375,89.57086051067115,2395.46471536066,96,67.5,4.0,9021,2169,1.4333333333333336,11,2,3437.5,8,6,0,2,0,True
106,Challenger,3,6,0,2,3,2,2,1,3.8392857142857144,0.0,0.0,93,62.5,4.0,5837,1573,1.75,10,3,2337.5,7,2,2,2,1,True
107,Master,2,5,0,3,1,2,4,1,4.410714285714286,0.0,0.0,104,60.0,2.0,11131,2537,1.7399999999999998,5,3,2625.0,7,4,2,3,1,True
108,Challenger,1,6,0,2,3,1,2,2,3.875,0.0,0.0,88,75.0,0.0,8977,3486,2.15,10,1,2975.0,8,3,0,1,1,True
109,Master,1,5,1,2,1,3,3,1,3.75,0.0,0.0,103,81.0,10.0,10338,1916,1.2833333333333334,11,2,3031.25,8,3,1,1,1,True
110,Challenger,1,5,1,2,3,1,1,3,4.125,0.0,0.0,87,78.0,10.0,8472,1979,1.633333333333333,5,3,3212.5,7,4,1,1,2,True
111,Master,1,5,0,3,2,2,3,1,3.625,33.86433589386205,702.5005084554874,104,81.0,0.0,6692,2695,1.26,23,2,1862.5,8,4,1,1,2,True
112,Challenger,2,7,0,1,1,0,1,6,4.375,0.0,0.0,76,66.42857142857143,0.0,10367,1150,1.342857142857143,9,6,2887.5,8,4,1,0,1,True
113,Master,1,5,0,3,2,1,4,1,3.625,0.0,0.0,104,72.0,0.3666666666666667,8178,2748,1.7399999999999998,23,2,2737.5,8,4,1,2,1,True
114,Challenger,1,5,1,2,6,2,0,0,2.875,193.69523977645122,8240.641476631246,104,90.0,10.0,5703,1933,1.2,12,0,2587.5,8,4,1,0,2,True
115,Master,3,5,1,2,1,2,3,2,3.75,0.8306878306878306,4.926974084743954,104,72.0,10.0,11368,1472,1.2333333333333334,11,1,2956.25,8,2,1,0,2,True
116,Challenger,3,8,0,0,0,2,5,1,4.75,0.0,0.0,66,73.125,0.0,10125,1991,1.5875,22,4,1787.5,8,2,2,0,0,True
117,Challenger,3,4,2,2,2,4,2,0,4.375,0.0,0.0,104,78.75,24.25,12925,1861,3.966666666666667,8,0,1343.75,8,3,1,1,1,True
118,Challenger,1,6,0,2,2,1,3,2,3.375,0.0,0.0,97,80.0,4.0,4622,1365,1.1500000000000001,21,2,3387.5,8,5,0,1,1,True
119,Challenger,3,5,1,2,2,1,3,2,3.25,1.6452513966480447,11.759474276410074,104,90.0,12.666666666666666,6420,1063,1.383333333333333,11,3,3812.5,8,4,0,1,1,True
120,Master,1,5,0,3,0,1,6,1,4.267857142857143,0.0,0.0,104,66.0,1.7,8196,2404,1.7,5,4,2587.5,7,5,2,3,1,True
121,Challenger,1,5,0,3,0,3,5,0,4.125,2.501416430594901,16.2641639360456,103,84.0,0.3666666666666667,6827,3279,1.3800000000000001,19,1,2612.5,8,4,1,1,2,True
122,Master,1,5,0,3,0,0,5,3,4.375,5.966283128963403,77.55090762249591,104,63.0,0.8666666666666667,8248,2023,1.4200000000000002,5,4,4237.5,8,5,0,1,2,True
123,Master,1,6,0,2,4,1,1,2,3.375,0.9006024096385542,3.199866440357272,102,77.5,0.0,7662,3456,1.3166666666666667,9,2,2600.0,8,3,1,0,2,True
124,Challenger,1,5,1,2,2,3,1,2,3.0,27.550279019097808,1342.628575448732,86,81.0,13.333333333333334,5326,2045,3.1166666666666667,9,3,1893.75,8,4,2,1,2,True
125,Master,1,5,1,2,1,2,3,2,3.25,1.7277916044466568,8.411936547304775,101,66.0,10.0,6863,834,1.2666666666666668,11,2,4068.75,8,3,1,0,2,True
126,Challenger,2,5,1,2,2,3,1,2,2.875,0.8306878306878306,4.926974084743954,102,102.0,10.0,6134,2388,1.4166666666666667,12,1,2687.5,8,3,1,0,2,True
127,Challenger,3,7,0,1,4,1,1,2,4.125,0.0,0.0,94,83.57142857142857,0.0,6384,2849,1.5714285714285714,27,2,2625.0,8,4,0,0,1,True
128,Challenger,1,7,0,1,3,1,4,0,4.25,0.0,0.0,95,70.71428571428571,6.0,9966,1624,1.6,14,1,3393.75,8,6,1,1,0,True
129,Master,1,5,1,2,2,4,2,0,4.375,0.0,0.0,103,66.0,11.333333333333334,9650,3229,1.5666666666666667,9,1,2662.5,8,4,1,1,1,True
130,Challenger,3,5,0,3,2,1,4,1,4.625,1.6435452793834293,16.00016680870492,102,81.0,3.6999999999999997,8107,2886,1.34,28,1,2506.25,8,7,1,1,1,True
131,Challenger,1,5,1,2,1,4,3,0,4.5,0.0,0.0,104,66.0,21.333333333333332,8403,1925,2.85,9,1,2775.0,8,4,0,2,0,True
132,Challenger,3,6,0,2,0,0,7,1,4.0,0.0,0.0,62,70.0,0.5,5764,812,1.2833333333333334,20,4,3100.0,8,5,1,1,1,True
133,Fun Deck,2,5,0,3,0,3,2,3,3.75,7.578796561604585,191.8413451297358,67,57.0,0.0,3576,1437,1.3,5,4,3581.25,8,6,1,0,3,True
134,Challenger,2,6,0,2,3,1,3,1,3.625,0.0,0.0,103,82.5,0.0,7353,1959,1.2333333333333332,16,1,2893.75,8,4,1,0,2,True
135,Challenger,1,8,0,0,1,2,1,4,4.0,0.0,0.0,70,78.75,0.0,6502,1585,1.3625,23,4,2987.5,8,3,0,0,0,True
136,Master,1,6,0,2,3,1,2,2,4.125,0.0,0.0,103,62.5,0.75,7492,2708,1.9500000000000002,12,2,3600.0,8,4,1,0,2,True
137,Challenger,2,7,0,1,2,2,3,1,4.125,0.0,0.0,77,75.0,0.0,8284,1564,1.042857142857143,17,2,2781.25,8,4,1,0,1,True
138,Challenger,1,6,0,2,2,1,3,2,3.875,180.26516233836136,3393.350443784545,104,72.5,4.0,9364,2322,1.2166666666666666,8,4,2031.25,8,4,1,2,0,True
139,Master,1,7,1,0,1,2,4,1,4.125,0.0,0.0,104,68.57142857142857,49.0,10563,1512,1.9125,27,3,2406.25,8,2,1,0,0,True
140,Challenger,3,5,1,2,2,3,1,2,3.875,0.0,0.0,98,69.0,16.333333333333332,7319,1995,2.4833333333333334,28,1,2425.0,8,3,1,0,2,True
141,Master,2,5,1,2,0,3,4,1,4.125,0.0,0.0,104,60.0,19.0,11925,2136,2.766666666666667,5,2,3062.5,8,3,1,1,1,True
142,Challenger,3,6,0,2,1,2,0,5,3.875,3.3774703557312256,31.112677147286718,99,70.0,0.0,8688,2349,1.3,7,5,2918.75,8,4,1,0,2,True
143,Master,1,6,0,2,0,5,1,2,3.75,0.0,0.0,104,85.0,0.0,7926,3328,1.5,20,1,2525.0,8,3,1,0,2,True
144,Challenger,1,4,1,3,1,3,2,2,3.5,19.45749768737522,175.11182283188575,101,82.5,7.5,5013,3006,1.3199999999999998,10,2,3743.75,8,4,1,0,3,True
145,Master,2,5,2,1,1,5,1,1,4.625,0.0,0.0,103,63.0,29.666666666666668,15223,2282,3.514285714285714,5,3,1637.5,8,2,1,0,1,True
146,Challenger,3,5,1,2,3,3,1,1,4.125,0.0,0.0,104,78.0,16.333333333333332,9464,3153,2.533333333333333,11,2,1737.5,8,4,1,1,1,True
147,Master,1,4,0,4,2,1,5,0,4.375,0.0,0.0,104,56.25,0.65,10829,2565,1.4,4,2,3000.0,8,5,0,2,2,True
148,Challenger,3,5,0,3,1,0,3,4,3.625,0.0,0.0,77,63.0,0.0,4773,2209,1.58,19,4,3187.5,8,3,0,1,2,True
149,Master,2,7,0,1,0,2,4,2,4.5,1.7178029499526253,22.64736914901286,103,70.71428571428571,1.0,14060,3371,1.8714285714285717,7,3,2593.75,8,5,3,1,0,True
150,Master,1,5,0,3,2,2,3,1,4.125,0.0,0.0,104,63.0,0.0,11502,3282,1.6400000000000001,5,1,2775.0,8,2,0,0,3,True
151,Challenger,1,5,1,2,3,4,0,1,2.625,2701.1974558450956,105534.85613644468,91,87.0,10.0,5075,1850,1.2333333333333332,7,2,2806.25,8,4,2,0,2,True
152,Master,1,6,0,2,1,3,3,1,4.553571428571429,0.0,0.0,104,67.5,0.75,8423,2817,1.5833333333333333,12,1,2843.75,7,3,2,1,2,True
153,Challenger,1,6,0,2,5,1,0,2,3.75,0.0,0.0,104,92.5,0.0,7990,2504,1.4166666666666667,15,2,2387.5,8,4,1,1,1,True
154,Fun Deck,2,6,0,2,0,3,4,1,4.125,0.0,0.0,62,55.0,0.0,7905,1904,1.5666666666666667,6,4,2687.5,8,3,1,0,2,True
155,Challenger,3,5,1,2,1,2,3,2,4.125,0.0,0.0,89,72.0,12.0,8858,1214,1.1166666666666667,24,2,3112.5,8,4,0,1,1,True
156,Master,1,4,1,3,0,1,6,1,4.5,84.73641154352897,1234.8852802632182,104,63.75,5.65,10970,1641,3.5200000000000005,4,2,3543.75,8,5,1,1,2,True
157,Master,1,6,1,1,1,1,2,4,3.75,0.0,0.0,104,80.0,24.5,10954,1839,2.0,16,4,1856.25,8,3,1,0,1,True
158,Master,1,5,1,2,2,3,2,1,3.875,22.47530792630748,640.0292244076362,104,69.0,10.0,9395,2599,1.0833333333333333,5,3,3537.5,8,3,1,0,2,True
159,Master,1,4,1,3,1,2,4,1,4.5,0.0,0.0,104,63.75,8.625,8999,1897,1.04,6,2,3725.0,8,5,0,1,2,True
160,Master,2,6,0,2,2,1,3,2,3.982142857142857,0.0,0.0,104,80.0,0.0,11196,2012,1.7166666666666668,10,4,2187.5,7,3,2,2,1,True
161,Master,1,5,0,3,3,1,3,1,3.125,44.16742802236842,1820.5399599870132,100,90.0,0.8666666666666667,5458,1502,1.0,7,2,2800.0,8,4,1,1,2,True
162,Master,3,4,1,3,2,1,1,4,4.0,0.8191126279863481,7.235977279031344,104,75.0,7.5,8873,1836,1.6000000000000003,4,3,4137.5,8,5,0,0,3,True
163,Challenger,1,7,0,1,1,2,1,4,4.5,0.0,0.0,74,66.42857142857143,0.0,8780,1327,1.4714285714285713,7,5,3700.0,8,4,1,0,1,True
164,Master,2,6,0,2,1,3,3,1,3.625,0.0,0.0,104,80.0,3.0,7592,2805,1.3,13,3,2831.25,8,5,2,1,1,True
